Year,District Code,District Name,Neighborhood Code,Neighborhood Name,Age,Immigrants,Emigrants,Diferencia
2015,4,Les Corts,20,la Maternitat i Sant Ramon,55-59,36,31,5
2015,4,Les Corts,21,Pedralbes,55-59,21,12,9
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",55-59,7,8,-1
2015,5,Sarrià-Sant Gervasi,23,Sarrià,55-59,38,31,7
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,55-59,17,22,-5
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,55-59,42,37,5
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,55-59,81,45,36
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,55-59,43,26,17
2015,6,Gràcia,28,Vallcarca i els Penitents,55-59,22,20,2
2015,6,Gràcia,29,el Coll,55-59,11,5,6
2015,6,Gràcia,30,la Salut,55-59,19,16,3
2015,6,Gràcia,31,la Vila de Gràcia,55-59,73,52,21
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,55-59,46,31,15
2015,7,Horta-Guinardó,33,el Baix Guinardó,55-59,40,17,23
2015,7,Horta-Guinardó,34,Can Baró,55-59,22,6,16
2015,7,Horta-Guinardó,35,el Guinardó,55-59,61,46,15
2015,7,Horta-Guinardó,36,la Font d'en Fargues,55-59,4,9,-5
2015,7,Horta-Guinardó,37,el Carmel,55-59,37,23,14
2015,7,Horta-Guinardó,38,la Teixonera,55-59,10,8,2
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,55-59,8,8,0
2015,7,Horta-Guinardó,40,Montbau,55-59,12,7,5
2015,7,Horta-Guinardó,41,la Vall d'Hebron,55-59,4,5,-1
2015,7,Horta-Guinardó,42,la Clota,55-59,1,0,1
2015,7,Horta-Guinardó,43,Horta,55-59,44,16,28
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,55-59,49,21,28
2015,8,Nou Barris,45,Porta,55-59,34,20,14
